3'-5' exonuclease	5'-Nucleotidase and apyrase	Actin-binding WH2	Acyl-CoA oxidase/dehydrogenase, type 1	Anaphase-promoting complex, subunit 10	AT-rich interaction region	Blood coagulation inhibitor, Disintegrin	C-type lectin	Caleosin related	Carbohydrate/purine kinase	CD9/CD37/CD63 antigen	Chitin-binding, type 1	Chloride channel, core	Chorismate mutase of the AroQ class, eukaryotic type	Cof protein	Cullin repeat-like	Cullin, N-terminal region	Cytochrome c oxidase assembly protein CtaG/Cox11	Deoxyhypusine synthase	Diaphanous GTPase-binding	Dihydroneopterin aldolase	DNA polymerase alpha, subunit B	DNA topoisomerase, type IA, core	DNA topoisomerase, type IA, DNA-binding	EGF-like, type 3	Endoplasmic reticulum oxidoreductin 1	Exonuclease, RNase T and DNA polymerase III	Folylpolyglutamate synthetase	G-protein, gamma subunit	GAF	Galactose oxidase/kelch, beta-propeller	Glutamine synthetase, beta-Grasp	Glutaredoxin active site	Glutaredoxin subgroup	Glycoside hydrolase, family 37	Glycoside hydrolase, family 47	GRAM	Helicase and RNase D C-terminal, HRDC	HhH-GPD	Inositol polyphosphate related phosphatase	Lipase, active site	Lipase, GDXG, active site	Macrophage migration inhibitory factor	Malate dehydrogenase, active site	Mannose-6-phosphate isomerase, type II, C-terminal	Metal-dependent protein hydrolase	MPPN	Nickel/cobalt transporter, high-affinity	Orotate phosphoribosyl transferase	Parvalbumin	Peptidase M12B, ADAM/reprolysin	Peptidyl-tRNA hydrolase, PTH2	Phenylalanine ammonia-lyase	Phenylalanyl-tRNA synthetase, class IIc, alpha subunit	Phosphomethylpyrimidine kinase type-2	Predicted pyridoxal phosphate-dependent enzyme, YBL036C type	Preprotein translocase Sec, Sec61-beta subunit, eukarya	Protein of unknown function DUF455	Protein of unknown function DUF941	Protein of unknown function UPF0012, conserved site	Protein of unknown function UPF0029, N-terminal	Protein-L-isoaspartate(D-aspartate) O-methyltransferase	Pseudouridine synthase	Purple acid phosphatase-like, N-terminal	Rad21/Rec8 like protein, C-terminal	Rare lipoprotein A	Region of unknown function DUF1744	Region of unknown function DUF1746, fungi	Ribonuclease HII	Ribonuclease HII/HIII	Ribosomal protein L13	Ribosomal protein S10	Ribosomal protein S16	Ribosomal protein S3, C-terminal	Rieske iron-sulphur protein, C-terminal	S-adenosylmethionine decarboxylase	Signal transduction response regulator, pH-responsive, PalI/Rim9	SIT4 phosphatase-associated protein	Squalene/phytoene synthase	Tetratricopeptide TPR2	Thaumatin, pathogenesis-related	TOPRIM	Toprim subdomain	Transcription initiation Spt4	Tubulin	Ubiquitin interacting motif	Urease, alpha subunit	Xeroderma pigmentosum group G protein	Yeast 2-isopropylmalate synthase	Yip1 domain
Suivar1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	1	0	2	0	0	12	2	0	0	2	8	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	2	2	0	1	0	0	3	10	0	0	0	1	0	8	1	0	0	1
Suiame1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	2	0	2	0	0	5	2	0	0	5	12	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	2	2	2	1	1	0	0	2	11	0	0	0	1	5	12	2	0	0	1
Suidis1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	1	0	2	0	0	4	2	0	0	3	8	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	2	2	0	1	0	0	2	8	0	0	0	1	0	12	1	0	0	0
Suipic1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	1	0	2	0	0	8	2	0	2	4	18	0	0	0	0	0	4	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	1	2	2	1	1	0	0	2	10	0	0	0	1	5	13	2	0	0	1
Suipla1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	2	0	2	0	0	7	2	0	0	2	10	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	2	2	0	1	0	0	1	11	0	0	0	1	0	12	1	0	0	2
Suiplo1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	1	0	2	0	0	6	2	0	0	2	8	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	2	2	0	1	0	0	2	9	0	0	0	1	0	12	1	0	0	1
Suisubl1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	2	0	2	0	0	9	2	0	0	2	14	0	0	0	0	0	5	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	2	2	0	1	0	0	2	12	0	0	0	1	0	12	1	0	0	1
Suiamp1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	3	0	2	0	0	5	3	0	0	3	8	0	0	0	0	0	5	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	2	2	0	1	0	0	2	8	0	0	0	1	0	10	0	0	0	1
Suicli1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	1	0	2	0	0	6	2	0	0	2	8	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	2	2	0	1	0	0	2	7	0	0	0	1	0	9	1	0	0	2
Suipal1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	2	0	2	0	0	8	2	0	0	2	8	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	2	2	0	1	0	0	2	10	0	0	0	1	0	8	1	0	0	1
Suisub1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	1	0	2	0	0	8	2	0	0	4	12	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	2	2	2	1	1	0	0	2	9	0	0	0	1	5	11	2	0	0	1
Suigr1	6	0	5	7	1	10	0	0	0	3	1	1	4	2	2	4	5	2	3	1	1	1	3	1	1	3	7	3	1	1	14	4	0	2	6	12	4	2	7	4	16	4	0	1	1	2	1	0	0	0	0	3	1	1	0	2	0	0	1	0	2	2	3	0	1	7	1	0	1	1	7	8	4	2	3	3	4	0	3	16	10	1	1	2	10	17	4	1	1	3
Suilak1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	2	0	2	0	0	6	2	0	0	2	10	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	2	2	0	1	0	0	2	9	0	0	0	0	0	11	1	0	0	2
Rhisa1	6	2	5	7	2	10	0	1	1	3	1	1	4	2	2	13	13	3	3	2	2	1	3	1	2	3	9	5	1	1	14	4	0	2	7	21	4	2	9	5	26	3	2	1	1	2	1	0	1	0	0	3	1	1	1	2	1	0	1	1	3	2	3	0	1	5	1	0	1	1	7	8	6	2	6	4	4	1	3	23	8	1	1	2	13	26	7	1	1	3
Rhitru1	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	1	2	0	0	0	0	0	0	2	0	2	0	0	6	3	0	0	2	8	0	0	0	0	0	5	0	1	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	1	2	2	0	1	0	0	2	8	0	0	0	1	0	15	1	0	0	1
Rhives1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	2	2	0	0	1	0	0	0	2	0	2	0	0	9	2	0	1	4	12	0	0	0	0	0	6	3	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	3	2	2	2	1	0	0	3	4	0	0	0	1	5	16	2	0	0	1
Rhivi1	5	1	6	8	2	11	0	1	1	3	2	1	6	2	2	9	9	3	3	2	2	1	3	1	2	3	7	5	1	0	14	4	0	2	6	12	4	3	9	5	13	9	7	1	1	2	0	0	1	0	0	3	1	1	1	0	1	0	1	1	3	3	4	0	1	8	1	0	1	1	7	8	4	2	7	4	4	1	4	20	10	1	1	2	10	21	4	1	1	3
Rhivul1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	2	0	2	0	0	8	2	0	0	2	12	0	0	0	0	0	6	0	1	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	1	2	2	0	1	0	0	3	7	0	0	0	1	0	11	1	0	0	1
Amamu1	10	0	6	8	1	15	5	2	0	5	3	1	6	3	2	4	6	2	3	2	2	1	3	1	2	3	8	6	1	4	11	4	1	3	5	21	5	4	10	4	27	3	4	2	1	2	1	1	1	1	2	5	2	1	1	2	1	1	1	1	3	2	3	2	2	8	1	1	1	1	9	13	4	3	5	5	3	1	3	22	18	1	1	2	10	21	4	1	1	3
Cananz1	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	2	2	0	0	0	0	0	0	2	0	2	0	0	13	2	0	2	10	31	0	0	0	0	0	6	0	2	1	1	0	2	0	0	0	4	1	1	0	0	0	1	0	0	0	3	0	2	0	0	0	0	0	0	2	3	4	2	1	1	0	0	5	11	0	0	0	1	6	13	4	0	0	3
Gaumor1_1	0	0	0	0	1	0	4	0	0	0	0	2	3	0	2	0	0	2	4	0	0	0	0	0	0	1	0	2	0	0	19	5	1	2	6	27	0	0	0	0	0	6	3	2	1	1	0	1	0	0	1	4	4	1	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	3	1	2	2	1	1	0	0	2	10	0	0	0	1	5	12	2	0	0	2
Gyrli1	6	1	6	9	1	13	0	2	1	3	1	1	4	2	2	6	7	2	3	2	3	1	3	1	1	3	7	5	2	3	14	4	0	3	6	18	5	3	11	5	19	5	2	3	1	2	1	1	1	0	0	3	1	1	1	2	1	0	1	1	3	3	4	1	2	6	1	1	1	1	8	8	4	3	3	4	4	1	3	22	10	1	1	2	11	19	4	1	1	2
Hebcy2	10	2	5	9	1	11	6	1	1	6	2	1	7	3	4	6	7	3	3	2	3	1	3	1	2	3	8	5	2	4	18	5	2	2	5	24	4	2	7	5	22	7	2	3	1	2	1	1	1	1	2	6	4	1	1	3	1	1	1	1	4	3	4	1	2	6	1	1	1	1	7	8	5	3	3	5	6	1	3	26	26	1	1	2	21	24	4	1	1	3
Hydru2	7	2	5	11	1	9	0	2	1	5	2	1	6	2	4	5	5	3	3	2	2	1	3	1	1	3	8	4	1	1	11	7	0	1	8	12	5	2	10	5	18	3	0	3	1	2	1	1	1	1	0	3	3	1	1	3	1	2	1	1	2	3	6	2	2	10	1	0	1	1	9	14	5	3	9	4	4	1	3	17	9	1	1	2	12	14	4	1	1	3
Hyssto1	0	0	0	0	1	0	4	0	0	0	0	0	3	0	2	0	0	2	2	0	0	0	0	0	0	1	0	2	0	0	9	2	0	0	2	18	0	0	0	0	0	2	1	2	1	1	0	1	0	0	1	4	1	1	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	3	0	2	2	0	1	0	0	2	9	0	0	0	1	0	12	1	0	0	2
Lacam2	9	1	6	8	1	16	5	1	1	4	3	1	6	2	2	6	7	2	3	3	2	1	3	1	2	3	8	6	2	4	20	4	1	3	6	22	4	3	10	5	28	3	2	3	1	2	1	2	1	1	2	5	2	1	1	3	1	1	1	1	3	3	4	2	2	9	1	1	1	1	8	7	5	3	4	5	6	1	3	22	10	1	1	2	13	19	4	1	1	3
Lacbi2	12	1	6	8	1	14	5	1	1	5	3	2	6	3	2	9	9	3	3	3	3	1	3	1	1	3	8	7	2	4	25	4	2	3	6	28	4	3	10	5	26	5	2	1	1	2	1	1	2	1	2	5	2	1	1	3	1	1	1	1	3	3	4	2	2	9	1	1	1	1	9	8	5	3	4	5	6	1	4	26	16	1	1	2	12	18	4	1	1	3
Paxin1	9	2	8	8	1	13	0	0	1	3	1	1	4	3	4	7	8	3	3	2	2	1	3	1	1	3	7	3	2	4	17	5	1	4	8	21	7	3	11	5	21	4	2	1	1	2	1	1	1	0	0	3	1	1	1	3	1	1	1	1	3	3	4	1	1	4	1	1	1	1	8	8	4	3	4	4	3	1	4	21	13	1	1	2	10	19	4	1	2	3
Pilcr1	8	1	7	9	1	12	5	3	0	6	3	2	6	3	2	6	5	3	3	2	4	1	3	1	1	3	10	5	2	2	18	5	2	1	3	18	5	3	15	5	24	7	2	2	1	2	1	1	0	1	2	6	2	1	1	3	1	2	1	1	3	4	4	1	1	9	1	1	1	1	7	6	4	3	3	3	6	1	3	30	16	1	1	2	11	18	4	1	1	3
Pismi1	6	1	8	8	1	11	0	5	1	4	2	1	4	2	2	8	11	3	3	1	1	1	2	1	2	3	7	7	2	2	13	4	2	4	8	13	5	3	9	4	19	3	2	1	1	2	1	1	1	1	0	3	1	1	1	3	1	0	1	1	3	2	4	1	2	3	1	1	1	1	8	9	4	3	5	5	5	1	3	21	13	1	1	3	10	21	4	1	1	4
Pisti1	8	1	8	9	1	12	0	3	1	3	1	1	4	2	3	5	6	2	3	2	2	1	3	1	2	3	7	8	2	3	14	4	1	4	9	12	5	3	16	5	24	9	1	1	1	2	1	1	1	1	0	2	4	1	1	3	1	0	1	1	3	4	4	1	1	3	1	1	1	2	9	13	4	3	3	5	4	1	3	18	19	1	1	4	11	13	4	1	1	3
Rusbre1	0	0	0	0	0	0	4	0	0	0	0	4	3	0	0	0	0	1	2	0	0	0	0	0	0	2	0	2	0	0	11	2	1	3	7	32	0	0	0	0	0	6	1	2	0	1	0	1	0	0	1	3	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	3	1	2	2	1	1	0	0	2	10	0	0	0	1	6	14	2	0	0	2
Ruscom1	0	0	0	0	1	0	4	0	0	0	0	0	3	0	0	0	0	1	2	0	0	0	0	0	0	2	0	2	0	0	11	3	1	3	4	12	0	0	0	0	0	4	2	2	0	1	0	1	0	0	1	2	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	2	2	2	1	1	0	0	2	12	0	0	0	1	5	15	2	0	0	2
Sclci1	8	0	6	7	1	16	0	2	1	4	1	1	4	3	2	8	8	3	3	2	3	1	3	1	1	3	7	9	3	3	17	5	0	2	7	18	2	2	13	5	19	9	2	1	1	2	1	1	1	1	0	3	2	1	1	3	1	1	1	1	2	3	4	1	1	7	1	1	1	1	7	12	4	2	5	5	6	1	3	17	12	1	1	4	17	15	4	1	1	3
Theter1	0	0	0	0	0	0	4	0	0	0	0	0	3	0	0	0	0	2	2	0	0	0	0	0	0	2	0	2	0	0	5	3	1	0	9	10	0	0	0	0	0	4	0	3	0	1	0	1	0	0	1	5	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	3	0	2	2	0	1	0	0	2	24	0	0	0	2	0	11	1	0	0	2
Thega1	6	1	7	8	1	10	5	1	0	4	2	1	7	3	2	4	5	2	3	2	2	1	3	1	1	3	9	4	1	5	12	5	1	2	6	13	5	3	9	5	16	8	0	2	1	2	1	1	1	1	2	6	1	1	1	3	1	0	1	2	2	3	3	0	2	5	1	1	1	1	8	9	5	3	4	5	5	1	3	13	16	1	1	2	10	20	4	1	1	3
