3-oxoacid CoA-transferase	3-oxoacid CoA-transferase, subunit B	6-phosphogluconate dehydrogenase, C-terminal-like	ABC-transporter extracellular N-terminal domain	Acetohydroxy acid isomeroreductase	Acetohydroxy acid isomeroreductase C-terminal	Acetohydroxy acid isomeroreductase, catalytic	Adenosine deaminase-related growth factor	Aldehyde dehydrogenase NAD(P)-dependent	Aldo/keto reductase, conserved site	Allantoicase	Allophanate hydrolase subunit 1	Allophanate hydrolase subunit 2	Alpha-hydroxy acid dehydrogenase, FMN-dependent	Amidophosphoribosyl transferase	Amino acid transporter, transmembrane	Amino acid/polyamine transporter I	Asp/Glu/hydantoin racemase	Ataxin 2, SM domain	Cerato-platanin	CHAT domain	CinA, C-terminal	Coenzyme A transferase active site	Coenzyme A transferase family I	Cryptochrome/DNA photolyase, class 1 conserved site, C-terminal	Cysteine desulfurase, NifS	D-amino-acid oxidase	Dihydrolipoamide succinyltransferase	DNA recombination and repair protein RecA	Dna2/Cas4, domain of unknown function DUF83	Domain of unknown function DUF1691	Domain of unknown function DUF21	Domain of unknown function DUF4149	FAD binding domain	Ferredoxin-NADP+ reductase, adrenodoxin-type	Fumarase C, C-terminal	Fumarate hydratase, class II	Fumarate reductase/succinate dehydrogenase flavoprotein-like, C-terminal	Fumarate reductase/succinate dehydrogenase, FAD-binding site	General substrate transporter	Glutathione S-transferase, C-terminal	Glutathione S-transferase, C-terminal-like	GTP binding domain	Immunity-related GTPases-like	IRG-type guanine nucleotide-binding (G) domain	Isoprenylcysteine carboxyl methyltransferase	Ketol-acid reductoisomerase, fungi	Kinetochore protein Spc7, C-terminal domain	Laminin IV	Leucine-rich repeat, ribonuclease inhibitor subtype	Major facilitator superfamily	Maleate isomerase/Arylmalonate decarboxylase	Mandelate racemase/muconate lactonizing enzyme, conserved site	Mating-type protein, C-terminal domain	Methyltransferase small domain	Molybdenum cofactor sulfurase, C-terminal	Multicopper oxidase, type 1	Multicopper oxidase, type 2	Multicopper oxidase, type 3	Nucleobase cation symporter-1, NCS1	Peptidase M20	Peptidase M20, carboxypeptidase S	Peptidase S28	Phosphogluconate dehydrogenase, NAD-binding, putative, C-terminal	Phosphoglycerate/bisphosphoglycerate mutase, active site	PIN domain-like	Plasmid pRiA4b, Orf3	Polyketide synthase, thioesterase domain	Polysaccharide lyase family 8, central domain	Probable nicotinate-nucleotide adenylyltransferase	Proline-specific peptidase	Protein MM3350-like domain	Protein of unknown function DUF3328	Protein of unknown function DUF829, TMEM53	Pyridine nucleotide-disulphide oxidoreductase, class-II, active site	Ribonuclease P/MRP, p29 subunit	RNA polymerase II elongation factor ELL	Squalene epoxidase	SRA-YDG	Stress-associated endoplasmic reticulum protein	Succinate dehydrogenase, flavoprotein subunit	Succinate dehydrogenase/fumarate reductase, flavoprotein subunit	Thioesterase	Thioredoxin reductase	TIM-barrel domain, IGPS-like	UbiA prenyltransferase family	Uncharacterised protein family UPF0261	Uncharacterised protein family, glycosyl hydrolase catalytic domain	WHIM2 domain	XPG-I domain
Suiame1	3	3	19	7	3	4	4	2	5	29	3	2	2	6	4	7	52	2	1	9	60	4	4	8	1	1	3	2	1	1	1	4	1	4	1	2	2	4	2	44	23	69	75	14	14	24	3	1	1	6	194	2	3	1	1	2	21	21	21	5	11	5	6	4	4	25	3	6	2	2	8	3	45	3	2	1	1	6	20	1	2	2	8	2	2	28	2	3	1	35
Suidis1	3	3	17	4	3	3	4	3	5	28	3	2	2	7	4	9	70	1	1	8	59	4	3	6	1	1	3	2	1	1	1	4	1	5	1	2	2	4	2	42	18	70	75	18	18	25	2	1	0	7	205	1	3	1	1	2	22	23	22	6	11	5	7	2	4	23	5	8	2	2	16	5	20	3	2	1	1	4	18	1	2	2	12	2	2	33	2	3	1	32
Suipic1	3	3	25	6	3	3	4	3	4	24	3	2	2	7	4	9	65	1	1	15	61	4	3	6	1	1	3	2	1	1	1	4	1	4	1	2	1	4	1	47	24	75	60	13	13	17	2	1	0	5	218	1	3	1	1	2	16	15	16	4	10	4	9	3	2	25	3	12	1	2	7	4	25	6	2	1	1	6	21	1	2	2	18	2	2	26	2	4	1	31
Suipla1	3	3	17	3	3	3	4	2	4	27	3	2	2	7	4	9	40	2	1	8	119	2	4	8	1	1	3	2	1	1	1	3	1	4	1	2	2	4	2	39	19	58	72	9	10	19	3	1	0	5	156	2	3	1	1	2	23	23	22	5	10	4	4	2	3	22	4	9	2	2	10	4	15	3	3	1	2	3	18	1	2	2	10	2	1	18	1	3	1	28
Suiplo1	2	3	17	7	3	3	4	2	6	28	3	2	2	7	4	12	60	1	1	7	61	2	4	8	1	1	4	2	1	1	1	3	1	4	1	2	2	4	2	41	17	66	68	12	12	25	3	1	1	4	196	1	3	1	1	2	23	23	22	5	13	6	8	2	5	22	2	6	2	2	12	2	22	3	2	1	1	6	18	1	2	2	8	2	2	24	2	3	1	30
Suisubl1	3	3	18	8	4	4	5	3	5	33	3	2	2	7	4	9	61	2	1	11	116	4	3	6	1	1	4	1	1	1	1	3	1	6	1	2	2	4	2	48	23	83	108	17	18	21	4	1	1	5	215	2	1	2	1	2	28	31	38	4	11	5	7	2	4	46	3	10	2	2	16	3	51	5	2	1	1	3	21	1	2	2	11	2	2	36	2	3	1	72
Suiamp1	3	3	16	6	2	2	3	1	4	31	3	2	2	9	4	10	58	1	1	8	117	6	3	6	1	1	7	2	1	1	1	4	1	5	1	2	2	4	2	42	21	84	57	11	11	19	2	1	1	5	196	1	3	1	1	2	15	15	14	4	11	6	8	2	4	23	1	11	2	3	8	1	21	4	1	1	1	5	22	1	2	2	14	0	2	39	2	4	1	30
Suicli1	3	3	19	6	3	3	4	2	2	27	3	2	2	7	4	6	57	1	1	11	136	4	3	6	1	1	6	2	1	1	1	4	1	4	1	2	2	4	2	42	12	64	72	11	12	24	3	1	1	5	192	1	3	1	0	2	25	24	24	5	13	4	5	3	4	16	3	12	2	2	6	3	18	3	2	1	1	3	15	1	2	2	14	2	2	31	2	3	1	20
Suipal1	3	3	17	5	2	2	3	2	4	26	3	2	2	7	3	7	61	1	0	7	85	2	3	6	1	1	4	2	1	1	1	5	1	5	1	2	2	4	2	37	18	69	81	14	15	15	2	1	1	4	186	1	3	1	0	2	21	21	20	5	12	4	10	2	5	23	3	7	2	1	6	3	20	5	1	1	1	1	15	1	2	2	7	1	2	28	2	4	1	34
Suisub1	2	3	18	6	3	3	4	3	3	29	3	2	2	7	2	7	41	3	1	9	80	4	3	6	1	1	3	2	1	1	1	3	1	4	1	2	2	4	2	40	19	61	81	12	12	25	3	1	0	5	161	3	3	1	1	1	23	21	24	5	11	5	7	2	2	22	4	10	1	2	4	4	31	2	2	1	1	4	20	2	2	2	11	2	2	26	2	3	1	25
Suigr1	3	3	17	0	4	4	5	3	4	0	3	2	3	1	4	7	24	1	0	6	0	1	3	0	0	0	0	2	0	0	0	0	0	0	0	0	2	2	2	34	23	40	0	0	0	15	4	0	1	5	161	0	0	0	0	0	18	19	18	3	9	4	7	3	0	0	0	0	0	2	0	0	0	0	2	0	0	4	15	0	2	0	6	2	0	0	0	0	0	0
Suilak1	1	1	18	5	4	4	5	3	3	36	3	2	2	9	3	7	59	1	0	10	152	4	1	4	1	1	4	2	1	1	1	5	1	5	1	2	2	4	1	50	25	84	120	11	11	26	3	1	1	7	227	1	4	1	1	2	31	30	29	6	9	3	8	2	2	24	4	9	2	1	6	4	24	3	2	1	1	3	18	1	2	2	15	1	2	37	2	3	2	36
Rhisa1	2	2	12	0	1	1	2	2	2	0	3	2	3	2	4	6	33	0	0	6	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	28	20	35	0	0	0	15	1	0	0	3	191	0	0	0	0	0	16	17	15	4	10	4	3	1	0	0	0	0	0	2	0	0	0	0	1	0	0	2	9	0	1	0	2	1	0	0	0	0	0	0
Rhitru1	2	2	15	3	1	1	2	2	2	19	1	2	2	5	2	7	51	0	0	3	2	0	2	4	0	0	3	2	1	1	0	2	0	4	1	1	1	2	1	32	13	44	71	4	4	13	1	1	0	3	147	0	1	1	0	2	16	16	15	4	9	3	2	1	2	10	1	10	1	1	2	1	3	2	1	1	1	2	12	1	1	1	12	1	2	16	2	3	0	10
Rhives1	0	1	13	4	1	1	2	0	1	21	2	2	2	5	3	7	51	0	0	7	18	2	1	2	0	0	1	0	0	1	0	2	0	2	0	1	1	2	1	39	17	54	63	6	6	13	1	0	0	3	137	0	3	1	0	0	18	23	18	4	9	2	14	2	2	13	2	5	1	1	2	2	5	1	1	0	1	2	12	0	1	1	8	1	1	14	2	2	0	12
Rhivi1	2	2	12	0	1	1	2	3	1	0	3	2	2	2	4	6	32	0	0	6	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	34	19	35	0	0	0	21	1	0	0	3	175	0	0	0	0	0	17	22	19	5	9	4	4	1	0	0	0	0	0	2	0	0	0	0	1	0	0	2	12	0	1	0	7	1	0	0	0	0	0	0
Rhivul1	0	0	14	5	1	1	2	1	2	20	5	2	2	7	3	7	48	0	0	8	17	2	0	0	0	0	2	1	1	1	1	2	0	3	1	1	1	2	1	32	14	53	57	5	5	15	1	1	0	3	157	0	1	1	0	2	16	15	15	5	9	2	3	2	4	13	1	5	1	1	2	1	5	3	1	0	0	2	11	1	1	1	6	1	2	11	2	1	1	13
Amamu1	1	1	9	0	1	1	1	1	1	0	1	0	0	1	2	7	19	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	27	19	36	0	0	0	18	1	0	0	3	94	0	0	0	0	0	19	20	16	3	6	2	3	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	6	0	1	0	0	1	0	0	0	0	0	0
Cananz1	1	1	15	0	2	2	2	0	3	15	1	0	0	4	2	5	24	0	0	0	0	0	0	2	0	2	3	1	0	1	0	2	1	2	1	2	2	2	1	20	9	35	19	0	0	3	2	0	0	2	86	0	1	0	0	2	10	10	10	1	7	4	1	0	1	11	0	1	1	2	0	0	0	2	1	1	0	1	3	0	1	1	0	1	0	2	0	2	0	11
Gaumor1_1	1	1	16	1	1	1	2	1	5	20	1	0	0	4	2	7	31	0	0	9	24	2	1	2	0	0	1	1	0	0	1	2	1	3	0	1	1	2	1	48	11	38	30	0	0	9	1	0	0	3	132	0	1	0	0	0	12	14	12	2	7	0	5	1	0	14	0	2	1	1	0	0	3	0	0	0	0	1	3	0	1	1	5	1	0	15	0	1	1	10
Gyrli1	2	2	12	0	1	1	2	2	2	0	1	2	2	2	1	6	23	0	0	4	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	29	12	26	0	0	0	7	1	0	0	3	119	0	0	0	0	0	11	12	11	2	8	3	2	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	9	0	1	0	6	1	0	0	0	0	0	0
Hebcy2	1	1	9	0	1	1	1	1	1	0	1	0	0	1	2	3	17	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	22	5	27	0	0	0	10	1	0	0	2	109	0	0	0	0	0	3	4	3	3	6	2	3	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	11	0	1	0	1	1	0	0	0	0	0	0
Hydru2	1	1	11	0	1	1	1	1	1	0	1	0	0	1	2	4	24	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	13	7	10	0	0	0	3	1	0	0	3	76	0	0	0	0	0	14	15	15	1	9	2	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0
Hyssto1	1	1	24	1	1	1	1	0	4	19	1	0	0	4	2	9	43	0	0	3	1	0	1	2	0	0	1	1	0	0	0	2	1	3	0	1	1	2	1	44	14	70	16	0	0	10	1	0	0	2	156	0	1	0	1	0	20	19	20	2	8	1	3	1	0	15	1	0	1	2	7	1	16	0	1	1	0	1	3	0	1	1	0	1	0	10	0	2	1	17
Lacam2	1	1	9	0	1	1	1	1	2	0	1	0	0	1	2	4	24	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	1	23	9	21	0	0	0	4	1	0	0	3	88	0	0	0	0	0	9	9	9	1	7	2	2	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	9	0	1	0	1	2	0	0	0	0	0	0
Lacbi2	1	1	8	0	1	1	1	1	3	0	1	0	0	1	2	3	25	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	5	2	21	13	23	0	0	0	4	1	0	0	3	97	0	0	0	0	0	13	13	14	1	8	2	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	9	0	2	0	2	1	0	0	0	0	0	0
Paxin1	1	1	15	0	1	1	2	0	2	0	1	0	0	2	2	5	43	1	0	5	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	32	14	31	0	0	0	17	1	0	0	4	190	0	0	0	0	0	15	16	15	2	11	1	2	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	9	0	1	0	10	1	0	0	0	0	0	0
Pilcr1	1	1	15	0	1	1	1	2	4	0	1	0	0	3	2	8	22	1	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	42	16	29	0	0	0	6	1	0	1	4	174	0	0	0	0	0	20	20	22	1	9	1	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	15	0	1	0	7	0	0	0	0	0	0	0
Pismi1	1	1	9	0	1	1	1	1	2	0	1	0	0	2	2	5	15	0	0	5	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	2	19	13	27	0	0	0	7	1	0	0	2	85	0	0	0	0	0	9	9	9	1	8	2	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	4	6	0	2	0	2	1	0	0	0	0	0	0
Pisti1	1	1	9	0	1	1	1	1	2	0	1	0	0	2	2	4	18	0	0	13	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	23	16	33	0	0	0	10	0	0	0	4	102	0	0	0	0	0	11	12	11	0	12	5	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	3	0	1	0	4	1	0	0	0	0	0	0
Rusbre1	1	1	11	1	1	1	1	1	2	8	1	0	0	4	2	4	23	0	0	2	18	0	1	2	0	0	0	1	0	0	0	2	0	2	0	1	1	2	1	25	7	42	17	0	0	2	0	0	0	3	71	0	1	0	0	0	15	13	14	1	7	2	1	0	1	13	0	0	1	1	2	0	0	1	0	0	0	1	3	0	1	1	1	1	0	8	0	1	0	10
Ruscom1	1	1	11	0	1	1	1	0	2	8	1	0	0	4	1	4	22	0	0	1	60	0	1	2	0	0	2	1	0	0	0	2	1	3	1	1	1	2	1	19	3	25	17	0	0	2	1	0	0	2	58	0	1	0	0	0	9	9	9	1	8	4	1	0	1	11	0	0	0	1	4	0	0	1	1	1	0	1	3	0	1	1	1	1	0	10	0	1	0	12
Sclci1	2	2	8	0	1	1	1	1	4	0	1	0	0	2	2	5	26	1	0	6	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	1	30	13	27	0	0	0	11	1	0	0	4	119	0	0	0	0	0	11	11	10	2	11	6	3	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	12	0	1	0	4	1	0	0	0	0	0	0
Theter1	1	1	12	3	1	1	1	1	2	8	1	0	0	5	2	5	17	0	1	2	0	0	1	2	1	0	1	1	0	0	0	2	0	2	0	1	1	2	1	16	9	31	26	0	0	6	1	0	0	3	57	0	1	0	0	0	2	2	2	1	8	2	3	0	1	12	0	1	0	1	2	1	2	0	1	0	0	1	9	1	1	1	5	1	0	2	0	1	0	11
Thega1	1	1	10	0	1	1	1	1	2	0	1	0	0	1	1	4	13	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	2	13	6	16	0	0	0	5	1	0	0	3	53	0	0	0	0	0	2	2	2	2	7	2	4	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	6	0	1	0	4	1	0	0	0	0	0	0
