6-phosphogluconate dehydrogenase, C-terminal-like	Acetohydroxy acid isomeroreductase	Acetohydroxy acid isomeroreductase C-terminal	Acireductone dioxygenase ARD family	Acyl-CoA dehydrogenase/oxidase, N-terminal and middle domain	Alcohol dehydrogenase GroES-like	Alcohol dehydrogenase, C-terminal	Alcohol dehydrogenase, iron-type, conserved site	Alcohol dehydrogenase, zinc-type, conserved site	Aldehyde dehydrogenase domain	Aldehyde dehydrogenase NAD(P)-dependent	Aldehyde dehydrogenase, cysteine active site	Aldehyde dehydrogenase, glutamic acid active site	Aldehyde/histidinol dehydrogenase	Aldo/keto reductase, conserved site	Alpha-hydroxy acid dehydrogenase, FMN-dependent	Catalase core domain	Catalase-like domain	Catalase, mono-functional, haem-containing	Catalase, mono-functional, haem-containing, clade 2	Catalase, mono-functional, haem-containing, clades 1 and 3	Copper amine oxidase, N-terminal	Cytochrome P450, conserved site	D-amino acid oxidase, conserved site	Dihydrofolate reductase conserved site	Dihydrofolate reductase domain	Dihydroorotate dehydrogenase, class 1/ 2	Dihydroorotate dehydrogenase, conserved site	ERV/ALR sulfhydryl oxidase domain	FAD-binding 8	Ferredoxin reductase-type FAD-binding domain	Ferredoxin-NADP+ reductase, adrenodoxin-type	Ferric reductase, NAD binding	FMN-dependent alpha-hydroxy acid dehydrogenase, active site	Fumarate reductase/succinate dehydrogenase flavoprotein-like, C-terminal	Fumarate reductase/succinate dehydrogenase, FAD-binding site	Glucose-6-phosphate dehydrogenase, active site	Glucose-6-phosphate dehydrogenase, C-terminal	Glucose-6-phosphate dehydrogenase, NAD-binding	Glucose-methanol-choline oxidoreductase	Glucose-methanol-choline oxidoreductase, N-terminal	Glutamate synthase domain	Glutamate/phenylalanine/leucine/valine dehydrogenase, C-terminal	Glutathione reductase, eukaryote/bacterial	Glycerol-3-phosphate dehydrogenase, NAD-dependent, C-terminal	Glycerol-3-phosphate dehydrogenase, NAD-dependent, N-terminal	Glycine cleavage system P protein, homodimeric	Histidinol dehydrogenase, conserved site	Homoserine dehydrogenase, conserved site	Hydroxymethylglutaryl-CoA reductase, class I/II, substrate-binding domain	Isocitrate dehydrogenase NAD-dependent	Isocitrate dehydrogenase NADP-dependent	Isopropylmalate dehydrogenase	Ketol-acid reductoisomerase, fungi	Lactate/malate dehydrogenase, C-terminal	Malic enzyme, N-terminal domain	Manganese/iron superoxide dismutase, C-terminal	Multicopper oxidase, type 1	Multicopper oxidase, type 2	N-acetyl-gamma-glutamyl-phosphate reductase, active site	NAD-dependent glutamate dehydrogenase, eukaryotes	NAD(P) transhydrogenase, alpha subunit	NADH dehydrogenase, subunit C	NADH ubiquinone oxidoreductase, F subunit	NADH-ubiquinone oxidoreductase, 20 Kd subunit	NADH:ubiquinone oxidoreductase-like, 20kDa subunit	NADH:ubiquinone oxidoreductase, 30kDa subunit	NADH:ubiquinone oxidoreductase, 30kDa subunit, conserved site	NADH:ubiquinone oxidoreductase, 51kDa subunit, conserved site	NADP transhydrogenase, beta subunit	NADPH-cytochrome P450 reductase	Nitrite reductase [NAD(P)H] small subunit, NirD	Nitrite/Sulfite reductase ferredoxin-like domain	Nitrite/sulphite reductase 4Fe-4S domain	Nitrite/sulphite reductase iron-sulphur/sirohaem-binding site	Oxoglutarate/iron-dependent dioxygenase	Oxoglutarate/iron-dependent oxygenase, C-terminal degradation domain	Peptide methionine sulphoxide reductase MsrA	Peroxiredoxin, C-terminal	Pyridine nucleotide-disulphide oxidoreductase, class-II, active site	Pyridine nucleotide-disulphide oxidoreductase, FAD/NAD(P)-binding domain	Pyruvate-flavodoxin oxidoreductase, central domain	Ribonucleotide reductase, class I , alpha subunit	Sirohaem synthase, N-terminal	Squalene epoxidase	Sterol reductase, conserved site	Succinate dehydrogenase, flavoprotein subunit	Succinate dehydrogenase/fumarate reductase, flavoprotein subunit	Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain	Thioredoxin reductase	tRNA-dihydrouridine synthase, conserved site
Rhisa1	12	1	1	0	0	30	0	0	0	0	2	0	0	17	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	13	0	0	13	5	1	1	0	0	0	9	31	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	16	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	1	0
Rhitru1	15	1	1	2	12	25	26	1	9	17	2	11	14	18	19	5	6	3	3	1	2	3	96	1	1	2	2	3	6	12	19	1	11	4	2	1	1	1	1	7	17	1	4	1	1	1	1	1	1	1	2	2	1	1	2	2	6	16	16	1	2	1	1	1	2	1	1	1	2	1	1	1	4	2	2	31	1	3	2	1	10	1	1	3	2	3	1	1	2	1	4
Rhives1	13	1	1	3	11	30	28	1	8	16	1	9	13	17	21	5	4	2	4	1	1	3	87	0	1	2	2	3	6	10	17	0	11	4	2	1	1	1	1	5	35	1	4	1	1	1	1	1	1	1	2	2	1	1	2	3	8	18	23	1	2	1	1	1	2	1	1	1	2	1	0	1	4	2	2	49	1	3	2	1	12	1	1	3	2	3	1	1	2	1	3
Rhivi1	12	1	1	0	0	30	0	0	0	0	1	0	0	17	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	13	0	0	10	5	1	1	0	0	0	17	41	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	17	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	1	0
Rhivul1	14	1	1	2	13	29	30	1	8	14	2	7	12	15	20	7	4	2	2	1	1	3	86	1	1	2	3	4	6	13	21	1	11	5	2	1	1	1	1	6	18	1	4	0	1	1	1	1	0	1	2	2	1	1	2	3	8	16	15	1	2	1	1	1	2	1	1	1	2	1	1	1	4	2	1	41	1	3	2	1	9	1	1	3	2	3	1	1	2	1	3
Amamu1	9	1	1	0	0	27	0	0	0	0	1	0	0	15	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	8	5	1	1	0	0	0	10	23	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	19	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0
Cananz1	15	2	2	3	17	8	17	0	4	20	3	11	18	21	15	4	4	2	4	2	0	2	51	2	0	2	4	1	6	6	17	1	6	1	2	1	1	1	1	16	45	1	4	1	1	1	1	1	0	1	2	2	1	2	2	1	6	10	10	1	1	1	1	0	2	1	1	1	2	1	1	1	4	2	4	37	1	3	2	1	9	0	1	3	1	3	1	1	2	1	5
Gaumor1_1	16	1	1	1	9	18	25	0	9	23	5	6	13	26	20	4	6	3	5	1	1	2	147	0	1	2	2	2	7	10	13	0	11	2	2	1	1	1	1	18	45	1	2	0	1	1	1	1	0	1	2	2	1	1	2	2	8	12	14	1	1	0	1	1	2	1	1	1	2	0	1	1	4	2	4	49	1	3	2	0	12	1	1	3	1	3	1	1	2	1	4
Gyrli1	12	1	1	0	0	21	0	0	0	0	2	0	0	16	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	10	0	0	10	6	1	1	0	0	0	8	22	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	11	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0
Hebcy2	9	1	1	0	0	24	0	0	0	0	1	0	0	14	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	8	0	0	8	4	1	1	0	0	0	17	35	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0
Hydru2	11	1	1	0	0	20	0	0	0	0	1	0	0	26	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	6	2	1	1	0	0	0	19	49	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	14	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0
Hyssto1	24	1	1	3	12	23	24	1	6	25	4	6	16	26	19	4	6	3	3	1	2	2	116	0	1	2	3	3	6	8	15	0	9	2	2	1	1	1	1	26	66	1	2	1	1	1	1	1	0	1	2	2	1	1	2	2	8	20	19	1	1	0	1	1	2	1	1	1	2	0	1	0	4	2	2	34	1	3	2	1	11	1	1	3	1	3	1	1	2	1	3
Lacam2	9	1	1	0	0	25	0	0	0	0	2	0	0	17	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	7	2	2	1	0	0	0	12	34	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	2	0
Lacbi2	8	1	1	0	0	31	0	0	0	0	3	0	0	19	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	9	4	5	2	0	0	0	10	26	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	13	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	1	0
Paxin1	15	1	1	0	0	24	0	0	0	0	2	0	0	20	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	15	0	0	10	5	1	1	0	0	0	5	17	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	15	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0
Pilcr1	15	1	1	0	0	34	0	0	0	0	4	0	0	20	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	7	3	1	1	0	0	0	25	67	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	20	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
Pismi1	9	1	1	0	0	24	0	0	0	0	2	0	0	18	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0	0	8	4	2	2	0	0	0	3	6	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	2	0	0	1	0
Pisti1	9	1	1	0	0	22	0	0	0	0	2	0	0	17	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	10	0	0	10	4	1	1	0	0	0	5	14	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	1	0
Rusbre1	11	1	1	2	11	17	18	1	3	16	2	9	12	17	8	4	4	2	4	0	1	1	87	0	1	2	2	2	6	5	12	0	5	2	2	1	1	1	1	10	24	1	2	1	1	1	1	1	0	1	2	2	1	0	2	3	5	15	13	1	1	1	1	0	2	1	1	1	2	1	1	0	2	1	2	33	1	3	2	0	9	1	1	3	1	1	1	1	1	1	3
Ruscom1	11	1	1	1	10	12	15	1	4	16	2	9	9	17	8	4	4	2	3	0	1	1	67	1	0	0	2	2	6	5	11	1	5	2	2	1	1	1	1	9	21	1	2	1	1	1	1	0	0	1	2	2	1	1	2	3	5	9	9	1	1	1	1	0	2	1	1	1	0	1	1	0	2	1	2	24	1	3	2	1	10	1	1	3	1	3	1	1	2	1	3
Sclci1	8	1	1	0	0	18	0	0	0	0	4	0	0	18	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	9	0	0	9	6	3	1	0	0	0	8	20	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0
Theter1	12	1	1	0	7	18	24	0	8	13	2	6	8	14	8	5	2	1	1	1	0	1	51	1	0	2	3	3	6	6	14	0	6	4	2	1	1	1	1	3	6	1	2	1	1	1	1	1	1	1	2	2	1	1	3	2	6	2	2	1	1	1	1	1	2	1	1	1	2	1	1	0	2	1	1	24	1	3	2	1	10	1	1	3	1	3	1	1	2	1	5
Thega1	10	1	1	0	0	24	0	0	0	0	2	0	0	17	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	8	4	1	2	0	0	0	2	4	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0
